,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,5,5,5,5,5,4,5,4,5
,6,6,0,0,6,5,6,0,6
,7,8,8,8,7,0,7,7,8
,9,11,11,12,10,10,9,0,11
,0,0,0,0,0,9,0,10,0
,0,0,0,0,0,0,0,0,0
,0,0,12,10,0,0,0,0,0
,8,10,6,6,9,8,8,8,10
,0,7,7,7,8,7,0,6,7
,0,1,2,2,1,1,2,1,2
,2,3,3,0,3,3,0,0,3
,1,2,0,0,2,2,0,2,0
,4,4,4,4,4,6,4,5,4
,0,9,9,9,0,0,0,0,9
,0,0,0,0,0,0,0,3,0
,10,12,10,11,11,11,0,9,12
,0,0,0,0,12,0,0,11,0
,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,10,0,0
,0,0,0,0,0,0,12,0,0
,11,0,0,0,0,0,11,0,0
,0,0,1,1,0,0,0,0,1
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,3,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,12,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0
,0,0,0,3,0,0,0,0,0
